2017,893455783333.8570
2016,842882814465.9030
2015,773357936017.8940
2014,709437607575.3540
2013,667203618522.8580
2012,628192842974.1620
2011,596008389918.5600
2010,558950004612.7360
2009,532130621299.2530
2008,507274186176.6000
2007,480055064045.2350
2006,463194774262.0950
2005,444524735376.2910
2004,415910119176.9190
2003,390159586469.9050
2002,339919486382.5620
2001,313492102169.6600
2000,293449501235.2890
1999,274098170404.7170
1998,261394402445.8480
1997,253264608512.5940
1996,236762277753.1960
1995,204087818078.7830
1994,82300112137.5849
1993,2696923025.9758
1992,155107895.7162
1991,16247959.4939
1990,2743290.2502
1989,65064.5418
1988,4882.1230
1987,746.2852
1986,234.2977
1985,87.4898
1984,26.9490
1983,9.3414
1982,4.0416
1981,2.0200
1980,1.0000
